Name,RAM,Internal storage,Display,Rear Camera,Front Camera,Battery,Processor,Price
"Redmi 9 Prime (Matte Black, 64 GB)",4 GB RAM , 64 GB ROM ,16.59 cm (6.53 inch) Full HD+ Display,13MP Rear Camera , 8MP Front Camera,5020 mAh Battery,MediaTek Helio G80 Processor,"₹9,499"
"Samsung Galaxy F41 (Fusion Blue, 64 GB)",6 GB RAM , 64 GB ROM ,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 5MP , 32MP Front Camera,6000 mAh Lithium-ion Battery,Exynos 9611 Processor,"₹14,999"
"POCO M2 Pro (Out of the Blue, 64 GB)",4 GB RAM , 64 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 720G Processor,"₹11,999"
"POCO M2 Pro (Green and Greener, 64 GB)",4 GB RAM , 64 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 720G Processor,"₹11,999"
"POCO M2 Pro (Two Shades of Black, 64 GB)",6 GB RAM , 64 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 720G Processor,"₹12,999"
"Infinix Hot 10 (Moonlight Jade, 64 GB)",4 GB RAM , 64 GB ROM ,17.22 cm (6.78 inch) HD+ Display,16MP + 2MP + 2MP + Low Light Sensor , 8MP Front Camera,5200 mAh Li-ion Polymer Battery,MediaTek Helio G70 Processor,"₹9,499"
"Infinix Hot 10 (Ocean Wave, 64 GB)",4 GB RAM , 64 GB ROM ,17.22 cm (6.78 inch) HD+ Display,16MP + 2MP + 2MP + Low Light Sensor , 8MP Front Camera,5200 mAh Li-ion Polymer Battery,MediaTek Helio G70 Processor,"₹9,499"
"Redmi 9 Prime (Sunrise Flare, 64 GB)",4 GB RAM , 64 GB ROM ,16.59 cm (6.53 inch) Full HD+ Display,13MP Rear Camera , 8MP Front Camera,5020 mAh Battery,MediaTek Helio G80 Processor,"₹9,499"
"POCO M2 Pro (Out of the Blue, 64 GB)",6 GB RAM , 64 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 720G Processor,"₹12,999"
"Samsung Galaxy F41 (Fusion Blue, 128 GB)",6 GB RAM , 128 GB ROM ,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 5MP , 32MP Front Camera,6000 mAh Lithium-ion Battery,Exynos 9611 Processor,"₹15,999"
"Realme 6 (Comet White, 64 GB)",6 GB RAM , 64 GB ROM ,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP , 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,"₹12,999"
"Realme 6 (Comet Blue, 64 GB)",6 GB RAM , 64 GB ROM ,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP , 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor,"₹12,999"
"POCO M2 (Brick Red, 128 GB)",6 GB RAM , 128 GB ROM ,16.59 cm (6.53 inch) Full HD+ Display,13MP + 8MP + 5MP + 2MP , 8MP Front Camera,5000 mAh Lithium Polymer Battery,MediaTek Helio G80 Processor,"₹10,999"
"Realme 7i (Fusion Blue, 128 GB)",4 GB RAM , 128 GB ROM ,16.51 cm (6.5 inch) HD+ Display,64MP + 8MP + 2MP + 2MP , 16MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon 662 Processor,"₹12,999"
"POCO M2 Pro (Two Shades of Black, 64 GB)",4 GB RAM , 64 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,48MP + 8MP + 5MP + 2MP , 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 720G Processor,"₹11,999"
"Realme 7i (Fusion Green, 128 GB)",4 GB RAM , 128 GB ROM ,16.51 cm (6.5 inch) HD+ Display,64MP + 8MP + 2MP + 2MP , 16MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon 662 Processor,"₹12,999"
"Realme C12 (Power Blue, 32 GB)",3 GB RAM , 32 GB ROM ,16.56 cm (6.52 inch) HD+ Display,13MP + 2MP + 2MP , 5MP Front Camera,6000 mAh Lithium-ion Battery,Mediatek Helio G35 Processor,"₹8,999"
"Realme C11 (Rich Green, 32 GB)",2 GB RAM , 32 GB ROM ,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP , 5MP Front Camera,5000 mAh Battery,Mediatek Helio G35 Processor,"₹7,499"
"Realme C11 (Rich Grey, 32 GB)",2 GB RAM , 32 GB ROM ,16.51 cm (6.5 inch) HD+ Display,13MP + 2MP , 5MP Front Camera,5000 mAh Battery,Mediatek Helio G35 Processor,"₹7,499"
"Realme C12 (Power Silver, 32 GB)",3 GB RAM , 32 GB ROM ,16.56 cm (6.52 inch) HD+ Display,13MP + 2MP + 2MP , 5MP Front Camera,6000 mAh Lithium-ion Battery,Mediatek Helio G35 Processor,"₹8,999"
"Infinix Smart 4 Plus (Midnight Black, 32 GB)",3 GB RAM , 32 GB ROM ,17.32 cm (6.82 inch) HD+ Display,13MP + Depth Sensor , 8MP Front Camera,6000 mAh Lithium-ion Polymer Battery,Mediatek Helio A25 Processor,"₹7,999"
"Infinix Smart 4 Plus (Violet, 32 GB)",3 GB RAM , 32 GB ROM ,17.32 cm (6.82 inch) HD+ Display,13MP + Depth Sensor , 8MP Front Camera,6000 mAh Lithium-ion Polymer Battery,Mediatek Helio A25 Processor,"₹7,999"
"Infinix Smart 4 Plus (Ocean Wave, 32 GB)",3 GB RAM , 32 GB ROM ,17.32 cm (6.82 inch) HD+ Display,13MP + Depth Sensor , 8MP Front Camera,6000 mAh Lithium-ion Polymer Battery,Mediatek Helio A25 Processor,"₹7,999"
"OPPO A5s (Black, 64 GB)",4 GB RAM , 64 GB ROM ,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP , 8MP Front Camera,4230 mAh Battery,MediaTek Helio P35 Processor,"₹9,990"
"OPPO A5s (Blue, 32 GB)",2 GB RAM , 32 GB ROM ,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP , 8MP Front Camera,4230 mAh Battery,MediaTek Helio P35 Processor,"₹7,990"
"POCO X3 (Shadow Gray, 128 GB)",8 GB RAM , 128 GB ROM ,16.94 cm (6.67 inch) Full HD+ Display,64MP + 13MP + 2MP + 2MP , 20MP Front Camera,6000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 732G Processor,"₹17,999"
"Infinix Hot 10 (Ocean Wave, 128 GB)",6 GB RAM , 128 GB ROM ,17.22 cm (6.78 inch) HD+ Display,16MP + 2MP + 2MP + Low Light Sensor , 8MP Front Camera,5200 mAh Li-ion Polymer Battery,MediaTek Helio G70 Processor,"₹10,999"
"Infinix Hot 10 (Amber Red, 128 GB)",6 GB RAM , 128 GB ROM ,17.22 cm (6.78 inch) HD+ Display,16MP + 2MP + 2MP + Low Light Sensor , 8MP Front Camera,5200 mAh Li-ion Polymer Battery,MediaTek Helio G70 Processor,"₹10,999"
"Infinix Hot 10 (Moonlight Jade, 128 GB)",6 GB RAM , 128 GB ROM ,17.22 cm (6.78 inch) HD+ Display,16MP + 2MP + 2MP + Low Light Sensor , 8MP Front Camera,5200 mAh Li-ion Polymer Battery,MediaTek Helio G70 Processor,"₹10,999"
