,Name,RAM,Internal storage,Display,Rear Camera,Front Camera,Battery,Processor,Price
153,Realme C15 Qualcomm Edition (Power Silver),4 GB , 64 GB ,16.56 ,13MP + 8MP + 2MP + 2MP , 8,6000 ,Qualcomm Snapdragon 460 Processor," 10,999"
154,Realme 7 Pro (Mirror Silver),6 GB , 128 GB ,16.26 ,64MP + 8MP + 2MP + 2MP , 32,4500 ,Qualcomm Snapdragon 720G Processor," 19,999"
155,Realme 7 Pro (Mirror Silver),8 GB , 128 GB ,16.26 ,64MP + 8MP + 2MP + 2MP , 32,4500 ,Qualcomm Snapdragon 720G Processor," 21,999"
156,Redmi Note 9 Pro (Glacier White),4 GB , 128 GB ,16.94 ,48MP + 8MP + 5MP + 2MP , 16,5020 ,Qualcomm® Snapdragon™ 720G Processor," 15,077"
157,Redmi Note 9 Pro (Aurora Blue),4 GB , 128 GB ,16.94 ,48MP + 8MP , 16,5020 ,Qualcomm Snapdragon 720G Processor," 15,220"
158,OPPO A5s (Gold),4 GB , 64 GB ,15.75 ,13MP + 2MP , 8,4230 ,MediaTek Helio P35 Processor," 14,275"
159,Tecno POVA (Speed Purple),4 GB , 64 GB ,17.27 ,16MP + 2MP + 2MP + AI Lens Quad Camera , 8,6000 ,MediaTek Helio G80 Processor," 10,499"
160,Tecno POVA (Magic Blue),6 GB , 128 GB ,17.27 ,16MP + 2MP + 2MP + AI Lens Quad Camera , 8,6000 ,MediaTek Helio G80 Processor," 11,999"
161,Realme 6 Pro (Lightning Blue),8 GB , 128 GB ,16.76 ,64MP + 12MP + 8MP + 2MP , 16,4300 ,Snapdragon 720G Processor," 17,999"
162,Lava Z66 (Berry Red),3 GB , 32 GB ,15.44 ,13MP + 5MP , 13,3950 ,Octa Core Processor," 6,877"
163,Lava Z66 (Marine Blue),3 GB , 32 GB ,15.44 ,13MP + 5MP , 13,3950 ,Octa Core Processor," 6,877"
164,Vivo Y12s (Glacier Blue),3 GB , 32 GB ,16.54 ,13MP + 2MP , 8,5000 ,Snapdragon 439 Processor," 9,990"
165,Vivo Y12s (Phantom Black),3 GB , 32 GB ,16.54 ,13MP + 2MP , 8,5000 ,Snapdragon 439 Processor," 9,990"
166,Realme 6 (Comet Blue),4 GB , 64 GB ,16.51 ,64MP + 8MP + 2MP + 2MP , 16,4300 ,MediaTek Helio G90T Processor," 13,999"
167,Realme 6i (Eclipse Black),6 GB , 64 GB ,16.51 ,48MP + 8MP + 2MP + 2MP , 16,4300 ,MediaTek Helio G90T Processor," 13,999"
